Formula,Algorithm,Clauses Prop,Time
227,Genetic,0.97,5.445
227,DPLL,,2.61
228,Local Search,0.97,0.251
228,Genetic,0.98,5.425
228,DPLL,,2.875
229,Local Search,0.98,0.281
229,Genetic,0.98,5.447
229,DPLL,,2.728
230,Local Search,0.97,0.227
230,Genetic,0.98,5.407
230,DPLL,,1.736
231,Local Search,0.97,0.239
231,Genetic,0.97,5.378
231,DPLL,,3.54
232,Local Search,0.97,0.233
232,Genetic,0.98,5.352
232,DPLL,,1.318
233,Local Search,0.98,0.28
233,Genetic,0.98,5.322
233,DPLL,,1.446
234,Local Search,0.97,0.217
234,Genetic,0.98,5.265
234,DPLL,,2.952
235,Local Search,0.97,0.232
235,Genetic,0.98,5.266
235,DPLL,,2.626
236,Local Search,0.97,0.274
236,Genetic,0.97,5.316
236,DPLL,,4.302
237,Local Search,0.98,0.283
237,Genetic,0.98,5.227
237,DPLL,,0.478
238,Local Search,0.97,0.309
238,Genetic,0.98,5.251
238,DPLL,,0.0
239,Local Search,0.97,0.269
239,Genetic,0.98,5.294
239,DPLL,,3.329
240,Local Search,0.98,0.261
240,Genetic,0.98,5.353
240,DPLL,,1.579
241,Local Search,0.97,0.275
241,Genetic,0.98,5.262
241,DPLL,,2.778
242,Local Search,0.98,0.273
242,Genetic,0.99,5.25
242,DPLL,,2.476
243,Local Search,0.97,0.237
243,Genetic,0.98,5.193
243,DPLL,,0.0
244,Local Search,0.97,0.227
244,Genetic,0.98,5.221
244,DPLL,,1.604
245,Local Search,0.97,0.248
245,Genetic,0.98,5.227
245,DPLL,,3.409
246,Local Search,0.98,0.246
246,Genetic,0.98,5.236
246,DPLL,,1.918
247,Local Search,0.97,0.248
247,Genetic,0.98,5.26
247,DPLL,,1.48
248,Local Search,0.98,0.314
248,Genetic,0.98,5.207
248,DPLL,,1.852
249,Local Search,0.98,0.257
249,Genetic,0.98,5.292
249,DPLL,,0.0
250,Local Search,0.98,0.297
250,Genetic,0.98,5.378
250,DPLL,,0.459
251,Local Search,0.97,0.26
251,Genetic,0.98,5.301
251,DPLL,,0.002
252,Local Search,0.97,0.238
252,Genetic,0.98,5.313
252,DPLL,,2.216
253,Local Search,0.98,0.295
253,Genetic,0.98,5.315
253,DPLL,,2.423
254,Local Search,0.97,0.255
254,Genetic,0.98,5.376
254,DPLL,,1.913
255,Local Search,0.97,0.287
255,Genetic,0.98,5.375
255,DPLL,,1.757
256,Local Search,0.98,0.274
256,Genetic,0.98,5.428
256,DPLL,,1.775
257,Local Search,0.97,0.292
257,Genetic,0.98,5.425
257,DPLL,,0.0
258,Local Search,0.97,0.278
258,Genetic,0.98,5.34
258,DPLL,,2.398
259,Local Search,0.97,0.248
259,Genetic,0.98,5.347
259,DPLL,,1.928
260,Local Search,0.98,0.235
260,Genetic,0.98,5.316
260,DPLL,,1.836
261,Local Search,0.97,0.263
261,Genetic,0.98,5.331
261,DPLL,,0.001
262,Local Search,0.97,0.301
262,Genetic,0.98,5.325
262,DPLL,,2.258
263,Local Search,0.98,0.273
263,Genetic,0.98,5.345
263,DPLL,,2.394
264,Local Search,0.97,0.255
264,Genetic,0.98,5.411
264,DPLL,,0.0
265,Local Search,0.96,0.221
265,Genetic,0.98,5.371
265,DPLL,,1.76
266,Local Search,0.97,0.262
266,Genetic,0.98,5.391
266,DPLL,,3.303
267,Local Search,0.97,0.26
267,Genetic,0.98,5.333
267,DPLL,,4.66
268,Local Search,0.98,0.32
268,Genetic,0.98,5.305
268,DPLL,,2.052
269,Local Search,0.97,0.218
269,Genetic,0.98,5.35
269,DPLL,,2.168
270,Local Search,0.97,0.28
270,Genetic,0.97,5.387
270,DPLL,,3.07
271,Local Search,0.97,0.224
271,Genetic,0.98,5.469
271,DPLL,,2.662
272,Local Search,0.97,0.254
272,Genetic,0.98,5.472
272,DPLL,,4.363
273,Local Search,0.97,0.275
273,Genetic,0.98,5.445
273,DPLL,,2.918
274,Local Search,0.97,0.252
274,Genetic,0.97,5.44
274,DPLL,,0.803
275,Local Search,0.98,0.252
275,Genetic,0.98,5.425
275,DPLL,,0.0
276,Local Search,0.97,0.28
276,Genetic,0.98,5.511
276,DPLL,,3.398
277,Local Search,0.98,0.255
277,Genetic,0.98,5.642
277,DPLL,,0.212
278,Local Search,0.97,0.288
278,Genetic,0.98,5.438
278,DPLL,,0.0
279,Local Search,0.97,0.271
279,Genetic,0.98,5.511
279,DPLL,,0.474
280,Local Search,0.98,0.257
280,Genetic,0.98,5.49
280,DPLL,,0.0
281,Local Search,0.97,0.272
281,Genetic,0.97,5.502
281,DPLL,,4.359
282,Local Search,0.97,0.265
282,Genetic,0.98,5.616
282,DPLL,,3.437
283,Local Search,0.98,0.27
283,Genetic,0.97,5.514
283,DPLL,,2.103
284,Local Search,0.97,0.213
284,Genetic,0.98,5.502
284,DPLL,,5.165
285,Local Search,0.98,0.304
285,Genetic,0.98,5.543
285,DPLL,,3.302
286,Local Search,0.97,0.251
286,Genetic,0.98,5.564
286,DPLL,,3.343
287,Local Search,0.97,0.282
287,Genetic,0.97,5.537
287,DPLL,,4.341
288,Local Search,0.98,0.294
288,Genetic,0.98,5.493
288,DPLL,,1.365
289,Local Search,0.98,0.291
289,Genetic,0.98,5.539
289,DPLL,,2.392
290,Local Search,0.98,0.299
290,Genetic,0.98,5.459
290,DPLL,,4.568
291,Local Search,0.97,0.266
291,Genetic,0.98,5.48
291,DPLL,,5.497
292,Local Search,0.97,0.282
292,Genetic,0.98,5.517
292,DPLL,,3.444
293,Local Search,0.98,0.294
293,Genetic,0.97,5.463
293,DPLL,,3.573
294,Local Search,0.97,0.293
294,Genetic,0.98,5.473
294,DPLL,,0.0
295,Local Search,0.98,0.268
295,Genetic,0.98,5.44
295,DPLL,,0.882
296,Local Search,0.97,0.272
296,Genetic,0.98,5.341
296,DPLL,,0.0
297,Local Search,0.97,0.281
297,Genetic,0.97,5.331
297,DPLL,,7.823
298,Local Search,0.97,0.222
298,Genetic,0.98,5.348
298,DPLL,,1.017
299,Local Search,0.97,0.286
299,Genetic,0.97,5.319
299,DPLL,,0.0
